#
# Transition date estimate for lacclair
#
# Site: lacclair
# Veg Type: DB
# ROI ID Number: 1000
# Aggregation period: 3day
# Year min: 2014
# Year max: 2024
# Final Processing Date: 2025-02-11
# Final Processing Time: 18:34:55
# Spline RMSE gcc_mean: 0.00331
# Spline RMSE gcc_50: 0.00361
# Spline RMSE gcc_75: 0.00368
# Spline RMSE gcc_90: 0.00388
#
site,veg_type,roi_id,direction,gcc_value,transition_10,transition_25,transition_50,transition_10_lower_ci,transition_25_lower_ci,transition_50_lower_ci,transition_10_upper_ci,transition_25_upper_ci,transition_50_upper_ci,threshold_10,threshold_25,threshold_50,min_gcc,max_gcc
lacclair,DB,1000,rising,gcc_90,2015-05-08,2015-05-13,2015-05-18,2015-05-06,2015-05-12,2015-05-17,2015-05-11,2015-05-15,2015-05-19,0.32106,0.33838,0.37124,0.31152,0.42816
lacclair,DB,1000,rising,gcc_90,2016-05-16,2016-05-18,2016-05-23,2016-05-15,2016-05-17,2016-05-21,2016-05-17,2016-05-20,2016-05-24,0.32499,0.33779,0.37864,0.31395,0.43286
lacclair,DB,1000,rising,gcc_90,2017-05-13,2017-05-17,2017-05-23,2017-05-11,2017-05-16,2017-05-21,2017-05-15,2017-05-19,2017-05-24,0.32289,0.33651,0.37297,0.31226,0.42556
lacclair,DB,1000,rising,gcc_90,2018-05-15,2018-05-19,2018-05-23,2018-05-14,2018-05-18,2018-05-22,2018-05-17,2018-05-20,2018-05-24,0.32232,0.34202,0.37272,0.31391,0.4296
lacclair,DB,1000,rising,gcc_90,2019-05-19,2019-05-24,2019-05-30,2019-05-18,2019-05-23,2019-05-29,2019-05-22,2019-05-25,2019-05-31,0.32253,0.34304,0.37444,0.31313,0.43448
lacclair,DB,1000,rising,gcc_90,2020-05-17,2020-05-20,2020-05-25,2020-05-16,2020-05-19,2020-05-23,2020-05-19,2020-05-21,2020-05-26,0.32012,0.33979,0.37703,0.31415,0.4284
lacclair,DB,1000,rising,gcc_90,2021-05-07,2021-05-11,2021-05-16,2021-05-05,2021-05-10,2021-05-15,2021-05-09,2021-05-12,2021-05-17,0.3256,0.34294,0.37487,0.31467,0.42959
lacclair,DB,1000,rising,gcc_90,2022-05-07,2022-05-11,2022-05-15,2022-05-06,2022-05-10,2022-05-14,2022-05-09,2022-05-12,2022-05-16,0.32453,0.34242,0.37608,0.31346,0.43279
lacclair,DB,1000,rising,gcc_90,2023-05-06,2023-05-11,2023-05-17,2023-05-05,2023-05-10,2023-05-15,2023-05-09,2023-05-13,2023-05-18,0.32334,0.33931,0.37196,0.31449,0.42381
lacclair,DB,1000,rising,gcc_90,2024-05-08,2024-05-11,2024-05-16,2024-05-07,2024-05-10,2024-05-14,2024-05-10,2024-05-13,2024-05-17,0.32474,0.33738,0.3767,0.31499,0.42865
lacclair,DB,1000,rising,gcc_75,2015-05-08,2015-05-13,2015-05-18,2015-05-06,2015-05-12,2015-05-17,2015-05-11,2015-05-15,2015-05-19,0.31957,0.33528,0.36569,0.30999,0.42088
lacclair,DB,1000,rising,gcc_75,2016-05-16,2016-05-18,2016-05-23,2016-05-15,2016-05-17,2016-05-22,2016-05-18,2016-05-20,2016-05-24,0.32174,0.33357,0.37215,0.31284,0.42606
lacclair,DB,1000,rising,gcc_75,2017-05-13,2017-05-17,2017-05-23,2017-05-11,2017-05-16,2017-05-21,2017-05-15,2017-05-19,2017-05-24,0.321,0.33439,0.36953,0.31124,0.42101
lacclair,DB,1000,rising,gcc_75,2018-05-16,2018-05-19,2018-05-24,2018-05-14,2018-05-18,2018-05-22,2018-05-17,2018-05-21,2018-05-25,0.32389,0.33758,0.37576,0.31303,0.42474
